127.0.0.1 - - [16/Feb/2024:09:05:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:05:14 +0900] "GET /Practice/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:05:14 +0900] "GET /Practice/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:05:14 +0900] "GET /Practice/button.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:05:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:05:58 +0900] "GET /Practice/index.html HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:05:58 +0900] "GET /Practice/common.css HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:05:58 +0900] "GET /Practice/button.css HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:00 +0900] "GET /Practice/index.html HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:00 +0900] "GET /Practice/common.css HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:00 +0900] "GET /Practice/button.css HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:13 +0900] "GET /Practice/index.html HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:13 +0900] "GET /Practice/common.css HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:13 +0900] "GET /Practice/button.css HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:59 +0900] "GET /Practice/index.html HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:59 +0900] "GET /Practice/common.css HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:59 +0900] "GET /Practice/button.css HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:06:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:00 +0900] "GET /Practice/index.html HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:00 +0900] "GET /Practice/common.css HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:00 +0900] "GET /Practice/button.css HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:08 +0900] "GET /Practice/index.html HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:08 +0900] "GET /Practice/common.css HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:08 +0900] "GET /Practice/button.css HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:09 +0900] "GET /Practice/index.html HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:09 +0900] "GET /Practice/common.css HTTP/1.1" 200 2758
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:09 +0900] "GET /Practice/button.css HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2024:09:07:09 +0900] "GET /Practice/index.html HTTP/1.1" 200 1660
